Source,Type,Target,Weight
King_LLL,Undirected,Longaville_LLL,4
King_LLL,Undirected,Dumaine_LLL,4
King_LLL,Undirected,Berowne_LLL,4
King_LLL,Undirected,Dull_LLL,1
King_LLL,Undirected,Costard_LLL,3
King_LLL,Undirected,Boyet_LLL,2
King_LLL,Undirected,Princess_LLL,2
King_LLL,Undirected,LORDS.0_LLL,1
King_LLL,Undirected,Maria_LLL,2
King_LLL,Undirected,Katherine_LLL,2
King_LLL,Undirected,Rosaline_LLL,2
King_LLL,Undirected,Jaquenetta_LLL,1
King_LLL,Undirected,Boy_LLL,1
King_LLL,Undirected,Armado_LLL,1
King_LLL,Undirected,Nathaniel_LLL,1
King_LLL,Undirected,Holofernes_LLL,1
King_LLL,Undirected,Marcade_LLL,1
King_LLL,Undirected,Spring_LLL,1
King_LLL,Undirected,Winter_LLL,1
Longaville_LLL,Undirected,Dumaine_LLL,4
Longaville_LLL,Undirected,Berowne_LLL,4
Longaville_LLL,Undirected,Dull_LLL,1
Longaville_LLL,Undirected,Costard_LLL,3
Longaville_LLL,Undirected,Boyet_LLL,2
Longaville_LLL,Undirected,Princess_LLL,2
Longaville_LLL,Undirected,LORDS.0_LLL,1
Longaville_LLL,Undirected,Maria_LLL,2
Longaville_LLL,Undirected,Katherine_LLL,2
Longaville_LLL,Undirected,Rosaline_LLL,2
Longaville_LLL,Undirected,Jaquenetta_LLL,1
Longaville_LLL,Undirected,Boy_LLL,1
Longaville_LLL,Undirected,Armado_LLL,1
Longaville_LLL,Undirected,Nathaniel_LLL,1
Longaville_LLL,Undirected,Holofernes_LLL,1
Longaville_LLL,Undirected,Marcade_LLL,1
Longaville_LLL,Undirected,Spring_LLL,1
Longaville_LLL,Undirected,Winter_LLL,1
Dumaine_LLL,Undirected,Berowne_LLL,4
Dumaine_LLL,Undirected,Dull_LLL,1
Dumaine_LLL,Undirected,Costard_LLL,3
Dumaine_LLL,Undirected,Boyet_LLL,2
Dumaine_LLL,Undirected,Princess_LLL,2
Dumaine_LLL,Undirected,LORDS.0_LLL,1
Dumaine_LLL,Undirected,Maria_LLL,2
Dumaine_LLL,Undirected,Katherine_LLL,2
Dumaine_LLL,Undirected,Rosaline_LLL,2
Dumaine_LLL,Undirected,Jaquenetta_LLL,1
Dumaine_LLL,Undirected,Boy_LLL,1
Dumaine_LLL,Undirected,Armado_LLL,1
Dumaine_LLL,Undirected,Nathaniel_LLL,1
Dumaine_LLL,Undirected,Holofernes_LLL,1
Dumaine_LLL,Undirected,Marcade_LLL,1
Dumaine_LLL,Undirected,Spring_LLL,1
Dumaine_LLL,Undirected,Winter_LLL,1
Berowne_LLL,Undirected,Dull_LLL,1
Berowne_LLL,Undirected,Costard_LLL,4
Berowne_LLL,Undirected,Boyet_LLL,2
Berowne_LLL,Undirected,Princess_LLL,2
Berowne_LLL,Undirected,LORDS.0_LLL,1
Berowne_LLL,Undirected,Maria_LLL,2
Berowne_LLL,Undirected,Katherine_LLL,2
Berowne_LLL,Undirected,Rosaline_LLL,2
Berowne_LLL,Undirected,Armado_LLL,2
Berowne_LLL,Undirected,Boy_LLL,2
Berowne_LLL,Undirected,Jaquenetta_LLL,1
Berowne_LLL,Undirected,Nathaniel_LLL,1
Berowne_LLL,Undirected,Holofernes_LLL,1
Berowne_LLL,Undirected,Marcade_LLL,1
Berowne_LLL,Undirected,Spring_LLL,1
Berowne_LLL,Undirected,Winter_LLL,1
Dull_LLL,Undirected,Costard_LLL,4
Dull_LLL,Undirected,Armado_LLL,2
Dull_LLL,Undirected,Boy_LLL,2
Dull_LLL,Undirected,Jaquenetta_LLL,2
Dull_LLL,Undirected,Nathaniel_LLL,2
Dull_LLL,Undirected,Holofernes_LLL,2
Costard_LLL,Undirected,Armado_LLL,4
Costard_LLL,Undirected,Boy_LLL,4
Costard_LLL,Undirected,Jaquenetta_LLL,3
Costard_LLL,Undirected,Princess_LLL,2
Costard_LLL,Undirected,Forester_LLL,1
Costard_LLL,Undirected,Boyet_LLL,2
Costard_LLL,Undirected,Rosaline_LLL,2
Costard_LLL,Undirected,Maria_LLL,2
Costard_LLL,Undirected,Nathaniel_LLL,3
Costard_LLL,Undirected,Holofernes_LLL,3
Costard_LLL,Undirected,Katherine_LLL,1
Costard_LLL,Undirected,Marcade_LLL,1
Costard_LLL,Undirected,Spring_LLL,1
Costard_LLL,Undirected,Winter_LLL,1
Armado_LLL,Undirected,Boy_LLL,4
Armado_LLL,Undirected,Jaquenetta_LLL,1
Armado_LLL,Undirected,Holofernes_LLL,2
Armado_LLL,Undirected,Nathaniel_LLL,2
Armado_LLL,Undirected,Princess_LLL,1
Armado_LLL,Undirected,Rosaline_LLL,1
Armado_LLL,Undirected,Katherine_LLL,1
Armado_LLL,Undirected,Maria_LLL,1
Armado_LLL,Undirected,Boyet_LLL,1
Armado_LLL,Undirected,Marcade_LLL,1
Armado_LLL,Undirected,Spring_LLL,1
Armado_LLL,Undirected,Winter_LLL,1
Boy_LLL,Undirected,Jaquenetta_LLL,1
Boy_LLL,Undirected,Holofernes_LLL,2
Boy_LLL,Undirected,Nathaniel_LLL,2
Boy_LLL,Undirected,Princess_LLL,1
Boy_LLL,Undirected,Rosaline_LLL,1
Boy_LLL,Undirected,Katherine_LLL,1
Boy_LLL,Undirected,Maria_LLL,1
Boy_LLL,Undirected,Boyet_LLL,1
Boy_LLL,Undirected,Marcade_LLL,1
Boy_LLL,Undirected,Spring_LLL,1
Boy_LLL,Undirected,Winter_LLL,1
Jaquenetta_LLL,Undirected,Nathaniel_LLL,1
Jaquenetta_LLL,Undirected,Holofernes_LLL,1
Boyet_LLL,Undirected,Princess_LLL,3
Boyet_LLL,Undirected,LORDS.0_LLL,1
Boyet_LLL,Undirected,Maria_LLL,3
Boyet_LLL,Undirected,Katherine_LLL,2
Boyet_LLL,Undirected,Rosaline_LLL,3
Boyet_LLL,Undirected,Forester_LLL,1
Boyet_LLL,Undirected,Nathaniel_LLL,1
Boyet_LLL,Undirected,Holofernes_LLL,1
Boyet_LLL,Undirected,Marcade_LLL,1
Boyet_LLL,Undirected,Spring_LLL,1
Boyet_LLL,Undirected,Winter_LLL,1
Princess_LLL,Undirected,LORDS.0_LLL,1
Princess_LLL,Undirected,Maria_LLL,3
